,index,City,Country,Lat,Lng,Hotel Name
0,2,Atuona,PF,-9.8,-139.0333,No Hotel
1,11,Bafoulabé,ML,13.8065,-10.8321,No Hotel
2,12,Saint-Philippe,RE,-21.3585,55.7679,No Hotel
3,17,Butaritari,KI,3.0707,172.7902,No Hotel
4,18,Vila Velha,BR,-20.3297,-40.2925,No Hotel
5,19,Novo Aripuanã,BR,-5.1206,-60.3797,No Hotel
6,20,Alofi,NU,-19.0595,-169.9187,No Hotel
7,21,Hilo,US,19.7297,-155.09,No Hotel
8,22,Arraial do Cabo,BR,-22.9661,-42.0278,No Hotel
9,23,Puerto Ayora,EC,-0.7393,-90.3518,No Hotel
10,24,Manta,EC,-0.95,-80.7333,No Hotel
11,30,Geraldton,AU,-28.7667,114.6,No Hotel
12,48,Pitimbu,BR,-7.4706,-34.8086,No Hotel
13,60,Barra Patuca,HN,15.8,-84.2833,No Hotel
14,72,Cidreira,BR,-30.1811,-50.2056,No Hotel
15,77,Carnarvon,AU,-24.8667,113.6333,No Hotel
16,78,Bosaso,SO,11.2842,49.1816,No Hotel
17,80,Avarua,CK,-21.2078,-159.775,No Hotel
18,82,Christchurch,NZ,-43.5333,172.6333,No Hotel
19,83,Tual,ID,-5.6667,132.75,No Hotel
20,84,Rikitea,PF,-23.1203,-134.9692,No Hotel
21,86,Iracoubo,GF,5.4802,-53.2011,No Hotel
22,89,Maumere,ID,-8.6199,122.2111,No Hotel
23,91,Vaini,TO,-21.2,-175.2,No Hotel
24,94,Talara,PE,-4.5772,-81.2719,No Hotel
25,96,Harper,LR,4.375,-7.7169,No Hotel
26,97,Mossamedes,AO,-15.1961,12.1522,No Hotel
27,99,Pisco,PE,-13.7,-76.2167,No Hotel
28,101,Juba,SS,4.8517,31.5825,No Hotel
29,103,Boa Vista,BR,2.8197,-60.6733,No Hotel
30,107,Demak,ID,-6.8909,110.6396,No Hotel
31,108,Morant Bay,JM,17.8815,-76.4093,No Hotel
32,113,Esim,GH,4.8699,-2.2405,No Hotel
33,114,Chimbote,PE,-9.0853,-78.5783,No Hotel
34,118,Port Blair,IN,11.6667,92.75,No Hotel
35,119,Ipixuna,BR,-1.7625,-48.8043,No Hotel
36,120,Kon Tum,VN,14.35,108.0,No Hotel
37,126,Lorengau,PG,-2.0226,147.2712,No Hotel
38,135,George Town,MY,5.4112,100.3354,No Hotel
39,139,Inongo,CD,-1.95,18.2667,No Hotel
40,142,Carutapera,BR,-1.195,-46.02,No Hotel
