,index,City,Country,Lat,Lng,Hotel Name
0,2,Atuona,PF,-9.8,-139.0333,Hôtel Hiva Oa Hanakee Lodge
1,11,Bafoulabé,ML,13.8065,-10.8321,RESTAURANT TOUNKAGOUNA
2,12,Saint-Philippe,RE,-21.3585,55.7679,Les Embruns Du Baril
4,18,Vila Velha,BR,-20.3297,-40.2925,Golden Tulip Porto Vitória
5,19,Novo Aripuanã,BR,-5.1206,-60.3797,Hotel Gonçalves
6,20,Alofi,NU,-19.0595,-169.9187,Taloa Heights
7,21,Hilo,US,19.7297,-155.09,Hilo Hawaiian Hotel
8,22,Arraial do Cabo,BR,-22.9661,-42.0278,Orlanova Boutique Hotel
9,23,Puerto Ayora,EC,-0.7393,-90.3518,La Fortaleza de Haro
10,24,Manta,EC,-0.95,-80.7333,Hotel Vistalmar
11,30,Geraldton,AU,-28.7667,114.6,Ocean Centre Hotel
14,72,Cidreira,BR,-30.1811,-50.2056,Hotel Castelo
15,77,Carnarvon,AU,-24.8667,113.6333,Coral Coast Tourist Park
16,78,Bosaso,SO,11.2842,49.1816,Nayruus Hotel
17,80,Avarua,CK,-21.2078,-159.775,Kiikii Inn & Suites - Rarotonga
18,82,Christchurch,NZ,-43.5333,172.6333,Fendalton Park Luxury Accommodation
19,83,Tual,ID,-5.6667,132.75,SURYA INN
20,84,Rikitea,PF,-23.1203,-134.9692,Pension Bianca & Benoit
21,86,Iracoubo,GF,5.4802,-53.2011,Iracoubo
22,89,Maumere,ID,-8.6199,122.2111,Sylvia Hotel
23,91,Vaini,TO,-21.2,-175.2,Paradise First Hotel
24,94,Talara,PE,-4.5772,-81.2719,Hotel Gran Palma Talara
25,96,Harper,LR,4.375,-7.7169,Grands' Guesthouse
26,97,Mossamedes,AO,-15.1961,12.1522,iu Hotel Namibe
27,99,Pisco,PE,-13.7,-76.2167,HOSTAL MIRAMAR
28,101,Juba,SS,4.8517,31.5825,Pyramid Continental Hotel
29,103,Boa Vista,BR,2.8197,-60.6733,Hotel Orla do Rio Branco
30,107,Demak,ID,-6.8909,110.6396,Amantis Hotel
31,108,Morant Bay,JM,17.8815,-76.4093,Golden Shore Resort
32,113,Esim,GH,4.8699,-2.2405,Ankobra Beach
33,114,Chimbote,PE,-9.0853,-78.5783,Norte Casual Luxury Hotel
34,118,Port Blair,IN,11.6667,92.75,"Symphony Samudra, Port Blair"
36,120,Kon Tum,VN,14.35,108.0,Hotels Kontum
37,126,Lorengau,PG,-2.0226,147.2712,Lorengau Harbourside Hotel
38,135,George Town,MY,5.4112,100.3354,"Eastern & Oriental Hotel, Penang"
39,139,Inongo,CD,-1.95,18.2667,Hotel Du Lac
40,142,Carutapera,BR,-1.195,-46.02,HOTEL R. SOARES
41,144,Kahului,US,20.8947,-156.47,Maui Beach Hotel
43,152,Mahajanga,MG,-15.7167,46.3167,Baobab Tree Hotel & Spa
44,153,Saint-Joseph,RE,-21.3667,55.6167,Village Sauvage
45,155,Port Macquarie,AU,-31.4333,152.9167,Sails Port Macquarie by Rydges
46,156,Kapaa,US,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
47,160,Bua Yai,TH,15.5855,102.4259,Chomna Resort
48,164,Ambanja,MG,-13.6833,48.45,Hôtel PALMA NOVA
49,165,Alta Floresta,BR,-9.8756,-56.0861,Floresta Amazonica Hotel
50,168,Faanui,PF,-16.4833,-151.75,InterContinental Bora Bora Resort Thalasso Spa
51,169,Vaitape,PF,-16.5167,-151.75,InterContinental Bora Bora Resort Thalasso Spa
52,171,Puerto Escondido,MX,15.85,-97.0667,Casa De Olas Boutique Hotel
53,175,Hithadhoo,MV,-0.6,73.0833,Abuharee Grand
54,176,Bathsheba,BB,13.2167,-59.5167,ECO Lifestyle & Lodge
55,177,Bubaque,GW,11.2833,-15.8333,Le Mango Lodge
56,182,Dibulla,CO,11.2725,-73.3091,Casa Dibulla Hotel Boutique
57,184,Caravelas,BR,-17.7125,-39.2481,Pousada Liberdade
58,189,Sechura,PE,-5.5569,-80.8222,Hotel Amanecer - Sechura
59,192,Caibarién,CU,22.5206,-79.4669,Hotel Brisas del Mar
60,193,Hambantota,LK,6.1241,81.1185,The Peacock Beach Hotel Hambantota
61,194,Codrington,AU,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
62,212,Esperance,AU,-33.8667,121.9,The Jetty Resort
63,214,San Carlos,VE,9.6612,-68.5827,Hotel Central
64,216,Ternate,ID,0.8,127.4,Grand Dafam Bela Ternate
65,217,Owando,CG,-0.4819,15.8999,Hotel MOMBO Beach Owando
66,222,Mahébourg,MU,-20.4081,57.7,Astroea Beach Mauritius
67,223,Mbandaka,CD,0.0487,18.2603,Nina River Hotel
68,224,Byron Bay,AU,-28.65,153.6167,The Beach Shack
69,225,Mocuba,MZ,-16.8392,36.9856,Pensão Venus
71,232,Paka,MY,4.6374,103.4368,"The Qamar Paka, Terengganu"
73,237,Yenagoa,NG,4.9247,6.2642,La Gold Hotels & Suites
75,240,Araci,BR,-11.3333,-38.9667,Pousada Isabelle
